ごはん			(rice)
だいがく			(university)
きのう			(yesterday)
きょうかしょ		(textbook)
ていぷ			(tape)
しょくどう			(cafeteria)
さかなふらいでいしょく	(fried fish set meal)
しょくどうのひと　		(school staff)
れじ　			(cashier)
えん　			(yen)
さらだ　			(salad)
ほん　			(book)
せんせい　		(teacher)
りゅがくせいかいかん　	(international student's house)
きょうしつ　		(classroom)
しんぶん　		(newspaper)
さかな　			(fish)
かんじ　			(kanji)
ひらがな　		(hiragana)
きょう　			(today)
あした　			(tomorrow)
にほんご　		(japanese language)
ざつし　			(magazine)
ぶんぽう　		(grammar)
らじお　			(radio)
さんどいつち　		(sandwich)
かれいらいす　		(curry rice)
けんきゅうしつ　		(professor's office/laboratory)
としょかん			(library)
てれび　			(television)
こうひい　			(coffee)
かいかん			(house (for international students))
おんがく　		(music)
しょうかい　		(introduction)
おんな　			(woman)
あともだち　		(your friend)
ともだち			(friend)
おくに　			(your country)
くに　			(country)
